序号,频道名称,组播地址,频道ID,清晰度/帧率/码率,				回放地址
100,全球大片,239.93.0.105:5140,1900,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888893/224/3221226693/10000100000000060000000000223616_0.smil
101,热播剧场,239.93.0.56:9020,1167,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888888/224/3221226501/10000100000000060000000000076467_0.smil
102,热门剧场,239.93.0.140:5140,785,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888888/224/3221226209/00000100000000060000000000035198_0.smil
103,港剧风云,239.93.0.143:5140,758,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888888/224/3221226159/00000100000000060000000000035172_0.smil
104,谍战剧场,239.93.0.95:5140,1891,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888893/224/3221226685/10000100000000060000000000223590_0.smil
105,卡酷动画,239.93.0.208:5140,6113,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888893/224/3221227147/10000100000000060000000001098345_0.smil
106,金鹰卡通,239.93.0.108:5140,793,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888888/224/3221226223/00000100000000060000000000035205_0.smil
107,优漫卡通,239.93.0.251:5140,6151,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888893/224/3221226760/10000100000000060000000001098392_0.smil
108,宝宝动画高清,239.93.0.147:5140,761,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888888/224/3221226165/00000100000000060000000000035175_0.smil
109,少儿动画高清,239.93.0.193:9000,1172,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888888/224/3221226505/10000100000000060000000000076473_0.smil
110,青春动漫,239.93.0.146:5140,856,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888888/224/3221226323/00000100000000060000000000035260_0.smil
111,热门综艺高清,239.93.0.151:5140,747,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888888/224/3221226139/00000100000000060000000000035161_0.smil
112,音乐现场高清,239.93.0.198:9044,9805,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221227938/10000100000000060000000003714453_0.smil
113,戏曲精选,239.93.0.144:5140,56497654,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888893/224/3221228397/10000100000000060000000004900703_0.smil
114,戏曲,239.93.0.217:9208,9799,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221227963/10000100000000060000000003714450_0.smil
115,魅力时尚高清,239.93.0.190:9012,1169,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888888/224/3221226503/10000100000000060000000000076469_0.smil
116,生活时尚,239.93.0.106:5140,56509455,SD|25FPS|9M,rtsp://182.139.235.40/PLTV/88888893/224/3221228415/10000100000000060000000004901361_0.smil
117,大爱旅游高清,239.93.1.234:5140,7511,FHD|50FPS|7M,rtsp://182.139.235.40/PLTV/88888893/224/3221226858/10000100000000060000000001642119_0.smil
118,大爱生活高清,239.93.1.235:5140,7512,FHD|50FPS|11M,rtsp://182.139.235.40/PLTV/88888893/224/3221227267/10000100000000060000000001642120_0.smil
119,大爱时尚高清,239.93.1.157:4120,8653,FHD|50FPS|11M,rtsp://182.139.235.40/PLTV/88888895/224/3221226948/10000100000000060000000002451323_0.smil
120,爱生活高清,239.93.0.206:8028,9801,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221227935/10000100000000060000000003714448_0.smil
121,财富天下,239.93.0.116:9136,2435,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888895/224/3221226294/10000100000000060000000000394240_0.smil
122,东方财经,239.93.0.249:5140,2712,SD|50FPS|3M,rtsp://182.139.235.40/PLTV/88888893/224/3221226326/10000100000000060000000000488302_0.smil
123,股评汇,239.93.0.141:5140,754,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888888/224/3221226153/00000100000000060000000000035168_0.smil
124,爱体育,239.93.0.135:9008,6912,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221226822/10000100000000060000000001366524_0.smil
125,电竞天堂高清,239.93.1.135:5140,779,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888888/224/3221226199/00000100000000060000000000035192_0.smil
126,游戏风云,239.93.0.136:5140,776,SD|50FPS|9M,rtsp://182.139.235.40/PLTV/88888888/224/3221226193/00000100000000060000000000035189_0.smil
127,汽车频道,239.93.0.117:1292,2471,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888895/224/3221226300/10000100000000060000000000401671_0.smil
128,足球高清,239.93.0.197:9040,9803,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221227969/10000100000000060000000003714446_0.smil
129,高网高清,239.93.0.202:9068,9802,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221227916/10000100000000060000000003714447_0.smil
130,台球高清,239.93.0.203:9072,9800,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221227932/10000100000000060000000003714449_0.smil
131,纪实人文,239.93.1.154:5140,7151,SD|50FPS|8M,rtsp://182.139.235.40/PLTV/88888893/224/3221226836/10000100000000060000000001430436_0.smil
132,墨宝高清,239.93.0.215:9132,9804,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221227975/10000100000000060000000003715620_0.smil
133,军事高清,239.93.0.204:9076,9798,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888895/224/3221227910/10000100000000060000000003714451_0.smil
134,解密高清,239.93.0.199:9048,9797,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221227929/10000100000000060000000003714452_0.smil
135,地理高清,239.93.0.200:9052,9796,SD|25FPS|2M,rtsp://182.139.235.40/PLTV/88888895/224/3221227926/10000100000000060000000003714454_0.smil
136,传奇,239.93.0.235:1282,1672,SD|25FPS|3M,rtsp://182.139.235.40/PLTV/88888888/224/3221226663/10000100000000060000000000159257_0.smil
137,收视指南,239.93.0.195:8012,1173,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888888/224/3221226048/10000100000000060000000000076474_0.smil
138,资讯新干线,239.93.0.236:1283,1633,SD|25FPS|4M,rtsp://182.139.235.40/PLTV/88888888/224/3221226659/10000100000000060000000000155354_0.smil
139,蓉城先锋,239.93.0.91:2101,2791,SD|25FPS|1M,rtsp://182.139.235.40/PLTV/88888895/224/3221226330/10000100000000060000000000507274_0.smil
140,星空精选高清,239.93.1.171:5140,6155,FHD|25FPS|15M,rtsp://182.139.235.40/PLTV/88888893/224/3221226764/10000100000000060000000001098396_0.smil
141,CGTN西班牙语,239.93.42.49:5140,668292018,FHD|25FPS|9M,rtsp://182.139.235.40/PLTV/88888895/224/3221228532/668292019.smil
142,CGTN法语,239.93.42.50:5140,668291865,FHD|25FPS|16M,rtsp://182.139.235.40/PLTV/88888895/224/3221228503/668291866.smil
143,每日影院,239.93.42.35:5140,655980709,FHD|25FPS|11M,rtsp://182.139.235.40/PLTV/446/224/3221228453/656571188.smil
144,爱怀旧高清,239.93.42.21:5140,654467933,FHD|50FPS|40M,rtsp://182.139.235.40/PLTV/446/224/3221228489/654860857.smil
145,爱喜剧高清,239.93.42.9:5140,654468149,FHD|25FPS|30M,rtsp://182.139.235.40/PLTV/446/224/3221228413/654842189.smil
146,爱奇谈高清,239.93.42.22:5140,654468002,FHD|50FPS|19M,rtsp://182.139.235.40/PLTV/446/224/3221228525/654862061.smil
147,爱科幻高清,239.93.42.10:5140,654467932,FHD|25FPS|14M,rtsp://182.139.235.40/PLTV/446/224/3221228474/654858548.smil
148,爱院线高清,239.93.42.11:5140,654468150,FHD|25FPS|31M,rtsp://182.139.235.40/PLTV/446/224/3221228500/654858370.smil
149,幸福剧场,239.93.42.30:5140,655980763,FHD|25FPS|12M,rtsp://182.139.235.40/PLTV/446/224/3221228448/656044391.smil
150,爱谍战高清,239.93.42.14:5140,654468003,FHD|25FPS|8M,rtsp://182.139.235.40/PLTV/446/224/3221228456/654860214.smil
151,爱经典高清,239.93.42.13:5140,654467936,FHD|25FPS|24M,rtsp://182.139.235.40/PLTV/446/224/3221228484/654860170.smil
152,爱悬疑高清,239.93.42.12:5140,654468001,FHD|25FPS|5M,rtsp://182.139.235.40/PLTV/446/224/3221228479/654859898.smil
153,爱青春高清,239.93.42.16:5140,654470172,FHD|25FPS|14M,rtsp://182.139.235.40/PLTV/446/224/3221228510/654860347.smil
154,爱都市高清,239.93.42.15:5140,654468101,FHD|25FPS|15M,rtsp://182.139.235.40/PLTV/446/224/3221228505/654860333.smil
155,少儿天地,239.93.42.34:5140,655314160,FHD|25FPS|17M,rtsp://182.139.235.40/PLTV/446/224/3221228502/656570997.smil
156,爱幼教高清,239.93.42.17:5140,654467937,FHD|25FPS|19M,rtsp://182.139.235.40/PLTV/446/224/3221228418/654860406.smil
157,爱玩具高清,239.93.42.18:5140,654468046,FHD|25FPS|37M,rtsp://182.139.235.40/PLTV/446/224/3221228515/654860365.smil
158,爱动漫高清,239.93.42.23:5140,654467934,FHD|25FPS|8M,rtsp://182.139.235.40/PLTV/446/224/3221228428/654861849.smil
159,求索频道高清,239.93.42.24:5140,654467935,FHD|25FPS|13M,rtsp://182.139.235.40/PLTV/446/224/3221228494/654861653.smil
160,爱电竞高清,239.93.42.19:5140,654468151,FHD|25FPS|13M,rtsp://182.139.235.40/PLTV/446/224/3221228423/654860425.smil
161,爱赛车高清,239.93.42.20:5140,654468100,FHD|25FPS|25M,rtsp://182.139.235.40/PLTV/446/224/3221228520/654860312.smil
162,爱宠宠物,239.93.42.32:5140,655314041,FHD|25FPS|20M,rtsp://182.139.235.40/PLTV/446/224/3221228499/656044618.smil
163,风尚生活,239.93.42.29:5140,655980640,FHD|25FPS|12M,rtsp://182.139.235.40/PLTV/446/224/3221228497/656044375.smil
164,幸福娱乐,239.93.42.31:5140,655980864,FHD|50FPS|15M,rtsp://182.139.235.40/PLTV/446/224/3221228471/656044603.smil
165,来钓鱼吧,239.93.42.8:5140,654197083,FHD|25FPS|24M,rtsp://182.139.235.40/PLTV/446/224/3221228495/654213801.smil
166,麻辣体育,239.93.42.2:5140,654196069,FHD|25FPS|34M,rtsp://182.139.235.40/PLTV/446/224/3221228408/654212908.smil
167,爱温江,239.93.1.104:1234,647574496,FHD|25FPS|8M,rtsp://182.139.235.40/PLTV/88888896/224/3221228398/647574497.smil
168,中国体育1,239.93.42.25:5140,655054046,FHD|25FPS|5M,rtsp://182.139.235.40/PLTV/88888896/224/3221228487/655054047.smil
169,中国体育2,239.93.42.26:5140,655054050,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221228433/655054051.smil
170,中国体育3,239.93.42.27:5140,655053226,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221228438/655054251.smil
171,精彩推荐,239.93.1.5:5140,646135581,FHD|25FPS|22M,rtsp://182.139.235.40/PLTV/88888896/224/3221228388/646135582.smil
