4K,#genre#
CCTV专区[1920*1080],http://cbnlive.cbchot.com/live/yszq3_1.m3u8
CCTV专区[1920*1080],http://cbnlive.cbchot.com/live/yszq2_1.m3u8
CCTV1综合[1920*1080],http://117.148.187.40/PLTV/88888888/224/3221226541/index.m3u8
CCTV1综合[1280*720],http://117.148.187.40/PLTV/88888888/224/3221226154/index.m3u8
CCTV1综合[1280*720],http://117.148.187.40/PLTV/88888888/224/3221226527/index.m3u8
CCTV1综合[1920*1080],http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8
CCTV1综合[1920*1080],http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226155/1.m3u8
CCTV1综合[1920*1080],http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV1综合[1920*1080],http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226346/1.m3u8
CCTV1综合[1920*1080],http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226431/1.m3u8
CCTV1综合[1920*1080],http://112.132.32.52/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV1综合[1920*1080],http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8
CCTV1综合[1920*1080],http://188.40.76.108:25461/mytv01/uSIRzmks51/22
CCTV1综合[1920*1080],http://120.221.5.165:8089/PLTV/88888888/224/3221225859/1.m3u8
CCTV1综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8
CCTV1综合[1920*1080],http://39.130.206.224:6610/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8?IASHttpSessionId=SLB150320200902203845065819
CCTV1综合[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221226908/1.m3u8
CCTV1综合[1920*1080],http://39.130.206.224:6610/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8?IASHttpSessionId=SLB152520200917145231088681
CCTV1综合[1920*1080],http://39.135.139.194:6610/PLTV/88888888/224/3221225501/1/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://39.135.139.196:6610/PLTV/88888888/224/3221225918/2/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://120.221.5.177:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1综合[1920*1080],http://111.20.105.60:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
