📡天津联通,#genre#
CCTV-央视台球HD,http://117.10.8.201: 4022/udp/225.1.2.170:5002
国学频道,http://117.10.8.201: 4022/udp/225.1.1.199:5002
江苏卫视靓妆频道,http://117.10.8.201: 4022/udp/225.1.1.200:5002
河南卫视梨园频道,http://117.10.8.201: 4022/udp/225.1.1.202:5002
河南卫视文物宝库,http://117.10.8.201: 4022/udp/225.1.1.203:5002
CETV早期教育,http://117.10.8.201: 4022/udp/225.1.1.204:5002
重庆电视台汽摩频道,http://117.10.8.201: 4022/udp/225.1.1.205:5002
河南卫视武术世界,http://117.10.8.201: 4022/udp/225.1.1.208:5002
CCTV-卫生健康HD,http://117.10.8.201: 4022/udp/225.1.2.165:5002
金色频道HD,http://117.10.8.201: 4022/udp/225.1.1.236:5002
法治天地HD,http://117.10.8.201: 4022/udp/225.1.1.237:5002
七彩戏剧,http://117.10.8.201: 4022/udp/225.1.1.86:5002
东方财经浦东,http://117.10.8.201: 4022/udp/225.1.1.87:5002
动漫秀场HD,http://117.10.8.201: 4022/udp/225.1.1.134:5002
游戏风云HD,http://117.10.8.201: 4022/udp/225.1.1.135:5002
FTV足球频道HD,http://117.10.8.201: 4022/udp/225.1.1.98:5002
足球,http://117.10.8.201: 4022/udp/225.1.1.105:5002

极速汽车HD,http://117.10.8.201: 4022/udp/225.1.1.141:5002
生活时尚HD,http://117.10.8.201: 4022/udp/225.1.1.143:5002
全纪实HD,http://117.10.8.201: 4022/udp/225.1.1.145:5002
都市剧场HD,http://117.10.8.201: 4022/udp/225.1.1.146:5002
china陶瓷HD,http://117.10.8.201: 4022/udp/225.1.1.153:5002
辽宁卫视新动漫频道,http://117.10.8.201: 4022/udp/225.1.1.216:5002
GTV网络棋牌,http://117.10.8.201: 4022/udp/225.1.1.217:5002
湖南卫视光锋乒羽,http://117.10.8.201: 4022/udp/225.1.1.219:5002
CHC家庭影院HD,http://117.10.8.201: 4022/udp/225.1.1.213:5002
CHC高清电影HD,http://117.10.8.201: 4022/udp/225.1.1.214:5002
CHC动作电影HD,http://117.10.8.201: 4022/udp/225.1.1.215:5002

湖南卫视快乐垂钓HD,http://117.10.8.201: 4022/udp/225.1.2.18:5002
湖南卫视茶频道HD,http://117.10.8.201: 4022/udp/225.1.2.19:5002
广东卫视高尔夫频道,http://117.10.8.201: 4022/udp/225.1.2.195:5002
中华特产频道,http://117.10.8.201: 4022/udp/225.1.2.197:5002
湖北卫视休闲指南频道,http://117.10.8.201: 4022/udp/225.1.2.196:5002
江苏卫视财富天下频道,http://117.10.8.201: 4022/udp/225.1.2.198:5002
车迷频道,http://117.10.8.201: 4022/udp/225.1.2.199:5002
环球旅游,http://117.10.8.201: 4022/udp/225.1.2.200:5002
EETV生态环境频道,http://117.10.8.201: 4022/udp/225.1.2.201:5002
四海钓鱼频道,http://117.10.8.201: 4022/udp/225.1.2.202:5002
优优宝贝,http://117.10.8.201: 4022/udp/225.1.2.203:5002
体育赛事HD,http://117.10.8.201: 4022/udp/225.1.1.181:5002
DOX映画HD,http://117.10.8.201: 4022/udp/225.1.1.238:5002
DOX剧场HD,http://117.10.8.201: 4022/udp/225.1.1.239:5002
DOX新知HD,http://117.10.8.201: 4022/udp/225.1.1.240:5002
DOX新艺HD,http://117.10.8.201: 4022/udp/225.1.1.241:5002
DOX英伦HD,http://117.10.8.201: 4022/udp/225.1.1.242:5002
DOX怡家HD,http://117.10.8.201: 4022/udp/225.1.1.243:5002
DOX环映HD,http://117.10.8.201: 4022/udp/225.1.1.244:5002
DOX雅趣HD,http://117.10.8.201: 4022/udp/225.1.1.245:5002
爱心扶贫HD,http://117.10.8.201: 4022/udp/225.1.2.132:5002
萌宠TVHD,http://117.10.8.201: 4022/udp/225.1.1.132:5002
休闲体育HD,http://117.10.8.201: 4022/udp/225.1.1.157:5002
IPTV3+,http://117.10.8.201: 4022/udp/225.1.1.201:5002
IPTV5+HD,http://117.10.8.201: 4022/udp/225.1.1.106:5002
羽球精品赛事HD,http://117.10.8.201: 4022/udp/225.1.2.1:5002
书画频道,http://117.10.8.201: 4022/udp/225.1.2.22:5002
家庭理财,http://117.10.8.201: 4022/udp/225.1.2.23:5002
潮流音乐HD,http://117.10.8.201: 4022/udp/225.1.2.55:5002
亲子游戏,http://117.10.8.201: 4022/udp/225.1.2.120:5002
百事通经典重温HD,http://117.10.8.201: 4022/udp/225.1.2.122:5002
百事通经典老片场HD,http://117.10.8.201: 4022/udp/225.1.2.123:5002
124,http://117.10.8.201: 4022/udp/225.1.2.124:5002
